Discipline,Number,MSCS,MSCB,GCAI,GCCB,GCDS,GSIW,GCMA,Mode,Semesters,even or odd
Cmp Sci,4010,L,,,,,R,,DE,FS SP,
Cmp Sci,4011,L,,,,,R,,O,SP,
Cmp Sci,4200,L,,,,R,,,OE,FS ,
Cmp Sci,4220,L,,,,,,R,O,SS,
Cmp Sci,4250,R,,,,,,,ODE,FS SP SS,
Cmp Sci,4280,L,,,,,,,DE,FS SP,
Cmp Sci,4610,L,,,,,,L,DE,FS SP,
Cmp Sci,4700,L,,,L,,,,O,FS,
Cmp Sci,4730,L,R,,R,,,,ODE,FS SP,
Cmp Sci,4760,R,R,,,,,,ODE,FS SP,
Cmp Sci,5012,L,,,,,R,,E,SP,
Cmp Sci,5020,L,L,,,,L,R,O,SP,
Cmp Sci,5130,R,,R,,,,,E,FS,
Cmp Sci,5222,L,L,,L,,,L,O,FS,
Cmp Sci,5300,L,L,R,,,,,O,FS SP,
Cmp Sci,5320,L,,L,,L,,,E,SP,
Cmp Sci,5340,L,,L,,R,,,E,FS,
Cmp Sci,5342,L,,L,,R,,,E,SP,
Cmp Sci,5370,L,,L,,L,,,E,SP,
Cmp Sci,5390,L,,L,,L,,,E,SP,
Cmp Sci,5410,L,,,,,,,O,FS,
Cmp Sci,5420,L,,L,,,,,E,FS,even
Cmp Sci,5500,R,,,,,,,E,FS,
Cmp Sci,5700,R,,,,,,,E,SP,
Cmp Sci,5702,L,R,,R,,,,OE,FS SP,
Cmp Sci,5732,L,R,,L,,,,O,SS,
Cmp Sci,5750,L,L,,L,,L,L,O,FS,
Cmp Sci,5782,L,R,,R,,,,O,SP,
Cmp Sci,5792,L,L,,L,,L,R,E,SP,
Cmp Sci,5794,L,L,,L,,,,O,FS,
Cmp Sci,5880,L,,,,,,,Arranged,FS SP SS,
Cmp Sci,5888,L,R,,,,,,OE,FS SP,
Cmp Sci,5900,L,,,,,,,Arranged,FS SP SS,
Cmp Sci,6320,R,,,,,,,E,FS,even
Cmp Sci,6340,R,,,,,,,E,FS,odd
Cmp Sci,6410,R,,,,,,,E,SP,even
Cmp Sci,6420,R,,,,,,,E,SP,odd
Cmp Sci,6900,R,R,,,,,,Arranged,FS SP SS,
